image_Path,image_name,text
France_Pages\France_Page12.png,France_Page12.png,"Friday. 12 NOV. 1675. In the evening I went to Gravesend. Sunday. 14 NOV. Took water at Dover and that day arrived at Calais.                                                                                                     Calais Friday. 19/29 NOV. Went to Boulogne, 7 leagues. 20/30 NOV. To Montreuil, 7 leagues 1 dec. To Abbeville, 10 leagues. 2 dec. To Poix, 9 leagues. 3 dec. To Beauvais, 9 leagues, thence to Tillart, 3 leagues. 4 dec. To Beaumont, 5 leagues, thence to Paris, 8 leagues. I paid to         Portage the messenger for horse and diet between Calais and Paris 12 crowns,     Vectura and 3 sous per lb.for bagage, except shoes and 6 lbs. which were allowed. I saw on the way peasants digging their vineyards with hoes made          Diging something like ours, but much broader and turned more toward the handle. In Paris I saw the great hospital which this King of France has builtfor his maimd soldiers, called Les Invalids. ��Tis a magnificent     Invalides building capeable, as they told us, when finishd, of 1000 soldiers. Length of front 320 of my paces. At the Vil Brisack we were in pension for "
France_Pages\France_Page13.png,France_Page13.png,"20 s. a day, but paid beside for fire and candle', but N. lay at Madame Varennes�� au bas d��or au Palais5 for 10 crowns per month. At Paris the greatest part of the people had colds as they had in Tussis England when we left it, so that they called it the maladie a la mode. 14 DEC. We took coach at Paris in the diligence for Lyons and, after having dined at Melun, got by an hour or 2 in the night to Moret where we lodged. It is 16 leagues from Paris. 15 dec. Before 4 in the morning we were in the coach. Dind at Pont Joyny sur Yonne & reached Joyny, 17 Leagues. 16 [dec.] We dined at Auxerre & hitherto kept company with the Yonne for the most part, which is navigable hither & higher & the country plain. Past this towne the country begins to be more hily Lade le Bois & very stony & thence more fild with vineards. We lay at Lacie le Bois, 15 Leagues, "
France_Pages\France_Page14.png,France_Page14.png,"where we had miserable lodging, but that must be borne with in France. 17 dec. We lay at Arnan le Due,3 14 Leagues. The country here began to be very unequall & rocky & had more inclosures then the other parts from Paris hither, & some what like England, but noe vineards all this day, but great woods & cornfields & some pastures which I had seldom seen in other parts of France. Wood at Arnan le Due soe cheape that a load as much as 3 horses could draw is bought there ready cut in the woods for 20s. This day we also saw carriages drawn with oxen, but the harnesse was fastened to their homes, & the catle were very little. 18 dec. We dind at a little town cald Chany,3 8 Leagues, the country hilly & rocky, much like the country about Bath. Noe milk to be got here or at the 2 last nights�� quarters.5 The sides of the hills had vineards. 8 horses in our diligence & 2 postilions. Lay at Challon, "
France_Pages\France_Page15.png,France_Page15.png,"3 Leagues, an old, but pretty large towne. 19 dec. We took boat at Challon on the Saone, a quiet, slow runing river, as broad as the Thames at Hendly. It passes through a pleasant vally, the hills about mile distant on each side, some places more, some lesse, coverd with wood & corne, but most wood. We passed by Tornus, a litle, olde towne, the buildings ill & old, the walls decayd, in it an Abby belonging to the Cardinall of Bouillon, worth 20,000 crowns per annum. The day very fair & the aire as temperate as it uses to be with us about the later end of September. On this side Paris we felt very litle cold, but hard frost between Calais & Paris. In the boat we playedfor doubles, at which, I having won 3d., the French were willing to avoid paying. M. l��Abbe and a woman lay in the same chamber, as the first night, "
France_Pages\France_Page16.png,France_Page16.png,"and so 2 or 3 nights after. 5 Leagues from Tornus we came to Mascon where we lay. This Mascon town seemed the most thriving that I had seen on this side Paris. It is a town about the bignesse of Bath or litle bigger. The roofs of the houses very flat, covered with pan tiles & the eves extended 6 or 8 or more feet beyond the walls, soe that they in some places almost coverd the street quite over, & sat on the houses like an Oxford cap on a scholler��s head. In it a Cathedrall & another church, whose Canons, being 12, were to be noblesse per four discents. 20 [dec.] We enterd our boat again & at 5 leagues�� distance came to a pretty towne calld Bel-Ville which well deservd that name, being Belville situated in a pleasant plain on the west part of the river, having on the West at a little distance a high mountain which, at a mile or two distance or some places more, ran along the "
France_Pages\France_Page17.png,France_Page17.png,"tract of this river almost all this day��s journey. A league from Belville we came to Vil Franche where, what with the towne situate on a gentle rise at Ville Franque the bottom of the mountain, & the country houses all about for a league or 2 downe the river, & the side of the mountain divided into woods & vineards, & the sun there shining on them, I scarce ever saw a finer prospect. On the side of this mountain we saw a very fine, large, new house built by a merchant of Lyons. Two Leagues farther we came to Trevou1 on the east side of the river, just on the Thon,1 a principality of Mademosile Mompansier. Here we saw a maypole, a little town on a riseing ground, & a castle just above it. The tract of mountains on the west side this river were in some places very high (called Montain de Baujolais), which, they say, accompanys this river to the Rhosne & that to the sea. From thence to Lyons 3 leagues, all the sides ofthe river beset "
France_Pages\France_Page18.png,France_Page18.png,"with fine houses, some where of were very large & most belonging to the merchants & inhabitants of Lyon. They are all very flat roofd, coverd with pan tiles as those of Mascon. Soe that from Vill Franch to Lyons we were never out ofsight ofseverall fine houses & vilages, but the thicker the nearer Lyon, soe that I count this one of the pleasantest places I have seen. Thus in 7 days we came from Paris to Lyon, 100 leagues, in a coach cald the diligence for which we paid 25 crowns. The passage to Challon in it was very troublesom, for we were most commonly cald up every morning between 2 & 3, staid about an hower at dinner & then on till an hower or 2 in night, & were some times inconveniently enough lodgd. To light the coach in the dark mornings the postilion carried a great bundle of wases3 before him which were our Flambeaux, & we carried a candle & contrivd in the coach to light them again when they went out. The passage from Challon by water was very easy & convenient & the river very quiet. 21 dec. We visited Mr. Charleton & Mr. Williams6 who treated us extreame civilly. They "
France_Pages\France_Page19.png,France_Page19.png,"shewed us upon the top of the hill a church now dedicated to the Virgin Mary which was formerly a Temple of Venus. Neare it dwelt Thomas Becket, when banishd out of England. 22 dec. We saw the Jesuits�� Colledg. At the first entrance there is a pretty large quadrangle, all the sides of which are high buildings, having the walls coverd with various pretty well painted figures, representing some the 4 parts of the world, others other things which, for want oftime & a instructer, we could not soe particularly observe. Only there was represented, in one row ofthem continued quite round the square, in certain squares put at a distance, the most considerable accidents that had happened to this citty. Within we saw noe thing but the library which is the best that ever I saw except Oxford, being one very large, high, oblong square, all set with shelves as high as one can "
France_Pages\France_Page20.png,France_Page20.png,"well reach standing upon a stoole, &above  a  galery  round  to  come  at  the  books.Out  of  this  goes an  other  round,not  soe  high  nor  broad,like  a  litle  short  galery. This  is  the  forme: furnishd with books, us,not above a year antly  on  the  banke very excellent pros- It  is  yet  but  moderately being  made,as  they  told  agon.It  stands very pleas- of  the   Rhosne,&hath   a pect,but  it  being  a  mistyday(which often happens here at this time of the yeare),we could see "
France_Pages\France_Page21.png,France_Page21.png,"one might perceive the Sodder. Also short peices of wood of one sort put into holds of wood an other & turnd there, both whose ends were bigger then the hole. Many sorts of clocks, espetially some that goe with their own weight rolling upon declind3 peices of wood, a great many modells of pumps & other engines which, he haveing not Latin nor I French, besides the particular temper ofthe man, I could not particularly enquire into. 2 things there were of use. A way he had there with 2 threads slideing upon a ruler to draw any plain figure into perspective, the place of view & distance being given. The other was the way of designeing any prospect by a mouving index & a pencill fastend to it mouving on paper, & a sight through which to govern the Index by your eyes. A good microscope. Some magneticall tricks rather then experiments. A dore in a paire of domes with 2 locks where of, when you lock one, the dore would turn, as it were, on hinges on one side; if you unlockd the other, it "
